service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude,Group_store,Area
3797980347767515401,5522031300474844824,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"02 Hàng Bài, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",105.852951,21.02502,Trung Nguyên Legend,North
3797980347767515401,5711042165917994427,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"133 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.702521,10.77475,Trung Nguyên Legend,South
3797980347767515401,4230362009839214182,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"07 Nguyễn Văn Chiêm, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.698214,10.781681,Trung Nguyên Legend,South
3797980347767515401,6904923281322080881,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"249A Hoàng Văn Thụ, Phường 1, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",106.665636,10.800275,Trung Nguyên Legend,South
3797980347767515401,4330154337799008143,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"19 Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",105.81256299999998,21.017677,Trung Nguyên Legend,North
3797980347767515401,8962170640010461901,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"05 Lý Quốc Sư, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",105.848748,21.030926,Trung Nguyên Legend,North
3797980347767515401,1008044296408251498,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"270 Bạch Đằng, Phường 24, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",106.701923,10.803913,Trung Nguyên Legend,South
3797980347767515401,6751578062084174730,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"94 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",106.695601,10.78051,Trung Nguyên Legend,South
3797980347767515401,6091545584520350247,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"35A Bùi Thị Xuân, Phường Bến Thành, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6900467,10.771254699999998,Trung Nguyên Legend,South
3797980347767515401,5555233042688006348,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"272 Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",106.711775,10.801938,Trung Nguyên Legend,South
